,esn,event_date,ecne_sample,tk_egthdm_delta_next_adj_sample,tk_egthdm_adj_summation_prev_sample,event_type_sample,rdf_sedi_ecsv_sample,country_sample,tk_egthdm_delta_rate_prev_sample,current_shop_visit_count_sample,engine_family_sample,tk_egthdm_det_rate_init_sample,esn_run_no_sample,customer_sample,operator_name_sample,engine_model_sample,tk_egthdm_delta_prev_adj_sample,shift_cause_flag_sample,tk_egthdm_adj_summation_next_2_sample,zone_sample,tk_egthdm_adj_summation_next_sample,rdf_sedi_ecsn_sample,event_date_prev_sample,tk_egthdm_aft_delta_rate_init_adj_sample,tk_egthdm_det_rate_next_sample,aircraft_id_sample,tk_egthdm_delta_rate_next_adj_sample,install_date_sample,shift_cause_sample,region_sample,tk_egthdm_delta_rate_next_sample,source_type_sample,event_date_next_sample,tk_egthdm_ret_sample,tk_egthdm_next_sample,tk_egthdm_bfr_sample,org_key_column_sample,flight_dttm_next_sample,flight_dttm_sample,engine_position_sample,tk_egthdm_delta_init_adj_sample,tk_egthdm_delta_next_sample,tk_egthdm_adj_summation_sample,tk_egthdm_init_sample,tk_egthdm_aft_sample,ecsw_sample,fleet_sample,tk_egthdm_aft_delta_rate_prev_adj_sample,tk_egthdm_det_rate_prev_sample,engine_type_sample,tk_egthdm_delta_init_sample,tk_egthdm_aft_delta_init_adj_sample,tk_egthdm_rec_sample,tk_egthdm_delta_prev_sample,tk_egthdm_aft_delta_init_sample,tk_egthdm_rec_ratio_init_sample,tk_egthdm_delta_rate_init_sample,category_count_sample,tk_egthdm_prev_sample,quality_check_all_sample,shop_visit_sample,tk_egthdm_rec_ratio_prev_sample,ecne_aurora,tk_egthdm_delta_next_adj_aurora,tk_egthdm_adj_summation_prev_aurora,event_type_aurora,rdf_sedi_ecsv_aurora,country_aurora,tk_egthdm_delta_rate_prev_aurora,current_shop_visit_count_aurora,engine_family_aurora,tk_egthdm_det_rate_init_aurora,esn_run_no_aurora,customer_aurora,operator_name_aurora,engine_model_aurora,tk_egthdm_delta_prev_adj_aurora,shift_cause_flag_aurora,tk_egthdm_adj_summation_next_2_aurora,zone_aurora,tk_egthdm_adj_summation_next_aurora,rdf_sedi_ecsn_aurora,event_date_prev_aurora,tk_egthdm_aft_delta_rate_init_adj_aurora,tk_egthdm_det_rate_next_aurora,aircraft_id_aurora,tk_egthdm_delta_rate_next_adj_aurora,install_date_aurora,shift_cause_aurora,region_aurora,tk_egthdm_delta_rate_next_aurora,source_type_aurora,event_date_next_aurora,tk_egthdm_ret_aurora,tk_egthdm_next_aurora,tk_egthdm_bfr_aurora,org_key_column_aurora,flight_dttm_next_aurora,flight_dttm_aurora,engine_position_aurora,tk_egthdm_delta_init_adj_aurora,tk_egthdm_delta_next_aurora,tk_egthdm_adj_summation_aurora,tk_egthdm_init_aurora,tk_egthdm_aft_aurora,ecsw_aurora,fleet_aurora,tk_egthdm_aft_delta_rate_prev_adj_aurora,tk_egthdm_det_rate_prev_aurora,engine_type_aurora,tk_egthdm_delta_init_aurora,tk_egthdm_aft_delta_init_adj_aurora,tk_egthdm_rec_aurora,tk_egthdm_delta_prev_aurora,tk_egthdm_aft_delta_init_aurora,tk_egthdm_rec_ratio_init_aurora,tk_egthdm_delta_rate_init_aurora,category_count_aurora,tk_egthdm_prev_aurora,quality_check_all_aurora,shop_visit_aurora,tk_egthdm_rec_ratio_prev_aurora,tk_egthdm_bfr_comparison,tk_egthdm_bfr_difference,tk_egthdm_aft_comparison,tk_egthdm_aft_difference
0,804705,2011-01-19,,28.67715073,,INSTALL,,INDONESIA,,0,CFM56,,1,LNI,LION MENTARI AIRLINES,CFM56-7B,,,0,INC,0,,,,-40.41446,,,2011-01-19,,CSO - ASIA,,ENG_UTIL,2011-09-08,,71.97885,,,2019-12-31,,,,28.67715,0,43.3017,43.3017,,,,,,,0,,,0,,,,,Invalid,TRUE,,,28.67715073,,INSTALL,,INDONESIA,,0,CFM56,,1,LNI,LION MENTARI AIRLINES,CFM56-7B,,,0,INC,0,,,,-40.41446,,,2011-01-19,,CSO - ASIA,,ENG_UTIL,2011-09-08,,71.97885,,,2020-07-02,,,,28.67715,0,43.3017,43.3017,,,,,,,0,,,0,,,,,Invalid,TRUE,,Not Matched,,Matched,0.0
1,804705,2011-09-08,606,4.586250305,0,WW,915.2024,INDONESIA,,0,CFM56,-40.41446,1,LNI,LION MENTARI AIRLINES,CFM56-7B,28.67715073,0,0,INC,0,915,2011-01-19,31.33421714,-11.995697,LHQ,7.568069811,2011-01-19,WW,CSO - ASIA,7.56807,FDM,2011-12-08,1154.147427,62.7203,71.97885,846407,2019-12-31,2011-09-08,1,28.67715073,4.5862503,0,43.3017,58.13405,,LNI,,-40.41446,CFM56-7B26/3,28.67715,14.83234787,13.844803,28.67715,14.832348,0.48278,31.33422,WW1,43.3017,Invalid,FALSE,0.48278,606,4.586250305,0,WW,915.2024,INDONESIA,,0,CFM56,-40.41446,1,LNI,LION MENTARI AIRLINES,CFM56-7B,28.67715073,0,0,INC,0,915,2011-01-19,31.33421714,-11.995697,LHQ,7.568069811,2011-01-19,WW,CSO - ASIA,7.56807,FDM,2011-12-08,1154.147427,62.7203,71.97885,846407,2020-07-02,2011-09-08,1,28.67715073,4.5862503,0,43.3017,58.13405,,LNI,,-40.41446,CFM56-7B26/3,28.67715,14.83234787,13.844803,28.67715,14.832348,0.48278,31.33422,WW1,43.3017,Invalid,FALSE,0.48278,Matched,0.0,Matched,0.0
2,804705,2011-12-08,574,4.776096344,0,WW,1521.5656,INDONESIA,7.56807,0,CFM56,-8.984422,1,LNI,LION MENTARI AIRLINES,CFM56-7B,4.586250305,0,0,INC,0,1521,2011-09-08,12.76224842,-21.265863,LHQ,8.320725338,2011-01-19,WW,CSO - ASIA,8.32073,FDM,2012-03-04,144.7859654,64.4174,62.7203,846411,2019-12-31,2011-12-08,1,19.41859818,4.7760963,0,43.3017,59.6413,606,LNI,7.568069811,-11.995697,CFM56-7B26/3,19.418598,16.33959961,3.0789986,4.5862503,16.3396,0.15856,12.76225,WW2,58.13405,Invalid,FALSE,0.67135,574,4.776096344,0,WW,1521.5656,INDONESIA,7.56807,0,CFM56,-8.984422,1,LNI,LION MENTARI AIRLINES,CFM56-7B,4.586250305,0,0,INC,0,1521,2011-09-08,12.76224842,-21.265863,LHQ,8.320725338,2011-01-19,WW,CSO - ASIA,8.32073,FDM,2012-03-04,144.7859654,64.4174,62.7203,846411,2020-07-02,2011-12-08,1,19.41859818,4.7760963,0,43.3017,59.6413,606,LNI,7.568069811,-11.995697,CFM56-7B26/3,19.418598,16.33959961,3.0789986,4.5862503,16.3396,0.15856,12.76225,WW2,58.13405,Invalid,FALSE,0.67135,Matched,0.0,Matched,0.0
3,804705,2012-03-04,598,11.6407547,0,WW,2095.952,INDONESIA,8.32073,0,CFM56,-2.1283634,1,LNI,LION MENTARI AIRLINES,CFM56-7B,4.776096344,0,0,INC,0,2095,2011-12-08,10.07451313,-14.07993,LHQ,19.46614498,2011-01-19,WW,CSO - ASIA,19.46614,FDM,2012-06-04,852.5608822,64.05415,64.4174,846415,2019-12-31,2012-03-04,1,21.11569595,11.640755,0,43.3017,52.4134,574,LNI,8.320725338,-21.265863,CFM56-7B26/3,21.115696,9.111698151,12.003998,4.7760963,9.111698,0.56849,10.07451,WW3,59.6413,Invalid,FALSE,2.51335,598,11.6407547,0,WW,2095.952,INDONESIA,8.32073,0,CFM56,-2.1283634,1,LNI,LION MENTARI AIRLINES,CFM56-7B,4.776096344,0,0,INC,0,2095,2011-12-08,10.07451313,-14.07993,LHQ,19.46614498,2011-01-19,WW,CSO - ASIA,19.46614,FDM,2012-06-04,852.5608822,64.05415,64.4174,846415,2020-07-02,2012-03-04,1,21.11569595,11.640755,0,43.3017,52.4134,574,LNI,8.320725338,-21.265863,CFM56-7B26/3,21.115696,9.111698151,12.003998,4.7760963,9.111698,0.56849,10.07451,WW3,59.6413,Invalid,FALSE,2.51335,Matched,0.0,Matched,0.0
4,804705,2012-06-04,515,15.58420181,0,WW,2693.7195,INDONESIA,19.46614,0,CFM56,-0.008766606,1,LNI,LION MENTARI AIRLINES,CFM56-7B,11.6407547,0,0,INC,0,2693,2012-03-04,7.704014041,-35.3774,LHQ,30.26058604,2011-01-19,WW,CSO - ASIA,30.26059,FDM,2012-08-26,503.3101778,61.83255,64.05415,846419,2019-12-31,2012-06-04,1,20.75245285,15.584202,0,43.3017,46.24835,598,LNI,19.46614498,-14.07993,CFM56-7B26/3,20.752453,2.946647644,17.805805,11.640755,2.9466476,0.85801,7.70401,WW4,52.4134,Invalid,FALSE,1.52961,515,15.58420181,0,WW,2693.7195,INDONESIA,19.46614,0,CFM56,-0.008766606,1,LNI,LION MENTARI AIRLINES,CFM56-7B,11.6407547,0,0,INC,0,2693,2012-03-04,7.704014041,-35.3774,LHQ,30.26058604,2011-01-19,WW,CSO - ASIA,30.26059,FDM,2012-08-26,503.3101778,61.83255,64.05415,846419,2020-07-02,2012-06-04,1,20.75245285,15.584202,0,43.3017,46.24835,598,LNI,19.46614498,-14.07993,CFM56-7B26/3,20.752453,2.946647644,17.805805,11.640755,2.9466476,0.85801,7.70401,WW4,52.4134,Invalid,FALSE,1.52961,Matched,0.0,Matched,0.0
5,804705,2012-08-26,837,7.996009827,0,WW,3208.8192,INDONESIA,30.26059,0,CFM56,-1.7345841,1,LNI,LION MENTARI AIRLINES,CFM56-7B,15.58420181,0,0,INC,0,3208,2012-06-04,5.774974625,-22.311756,LHQ,9.55317781,2011-01-19,WW,CSO - ASIA,9.55318,FDM,2012-12-31,509.2722674,58.4658,61.83255,846423,2019-12-31,2012-08-26,1,18.53084946,7.99601,0,43.3017,50.46979,515,LNI,30.26058604,-35.3774,CFM56-7B26/3,18.53085,7.16809082,11.362759,15.584202,7.168091,0.61318,5.77497,WW5,46.24835,Invalid,FALSE,0.72912,837,7.996009827,0,WW,3208.8192,INDONESIA,30.26059,0,CFM56,-1.7345841,1,LNI,LION MENTARI AIRLINES,CFM56-7B,15.58420181,0,0,INC,0,3208,2012-06-04,5.774974625,-22.311756,LHQ,9.55317781,2011-01-19,WW,CSO - ASIA,9.55318,FDM,2012-12-31,509.2722674,58.4658,61.83255,846423,2020-07-02,2012-08-26,1,18.53084946,7.99601,0,43.3017,50.46979,515,LNI,30.26058604,-35.3774,CFM56-7B26/3,18.53085,7.16809082,11.362759,15.584202,7.168091,0.61318,5.77497,WW5,46.24835,Invalid,FALSE,0.72912,Matched,0.0,Matched,0.0
6,804705,2012-12-31,124,-2.529518127,0,WW,4045.6574,INDONESIA,9.55318,0,CFM56,-3.3924024,1,LNI,LION MENTARI AIRLINES,CFM56-7B,7.996009827,0,0,INC,0,4045,2012-08-26,3.748241422,12.05612,LHQ,-20.39933974,2011-01-19,WW,CSO - ASIA,-20.39934,FDM,2013-01-19,254.0437809,58.999065,58.4658,846427,2019-12-31,2012-12-31,1,15.16410065,-2.5295181,0,43.3017,61.528584,837,LNI,9.55317781,-22.311756,CFM56-7B26/3,15.164101,18.22688293,-3.0627823,7.99601,18.226883,-0.20198,3.74824,WW6,50.46979,Invalid,FALSE,-0.38304,124,-2.529518127,0,WW,4045.6574,INDONESIA,9.55318,0,CFM56,-3.3924024,1,LNI,LION MENTARI AIRLINES,CFM56-7B,7.996009827,0,0,INC,0,4045,2012-08-26,3.748241422,12.05612,LHQ,-20.39933974,2011-01-19,WW,CSO - ASIA,-20.39934,FDM,2013-01-19,254.0437809,58.999065,58.4658,846427,2020-07-02,2012-12-31,1,15.16410065,-2.5295181,0,43.3017,61.528584,837,LNI,9.55317781,-22.311756,CFM56-7B26/3,15.164101,18.22688293,-3.0627823,7.99601,18.226883,-0.20198,3.74824,WW6,50.46979,Invalid,FALSE,-0.38304,Matched,0.0,Matched,0.0
7,804705,2013-01-19,683,8.367534637,0,WW,4169.5639,INDONESIA,-20.39934,0,CFM56,-2.9465976,1,LNI,LION MENTARI AIRLINES,CFM56-7B,-2.529518127,0,0,INC,0,4169,2012-12-31,3.764749788,-7.9386516,LHQ,12.25114881,2011-01-19,WW,CSO - ASIA,12.25115,FDM,2013-05-21,1156.21394,58.18782,58.999065,944215,2019-12-31,2013-01-19,1,15.69736481,8.367535,0,43.3017,49.820286,124,LNI,-20.39933974,12.05612,CFM56-7B26/3,15.697365,6.518585205,9.17878,-2.5295181,6.518585,0.58473,3.76475,WW7,61.528584,Invalid,FALSE,-3.62867,683,8.367534637,0,WW,4169.5639,INDONESIA,-20.39934,0,CFM56,-2.9465976,1,LNI,LION MENTARI AIRLINES,CFM56-7B,-2.529518127,0,0,INC,0,4169,2012-12-31,3.764749788,-7.9386516,LHQ,12.25114881,2011-01-19,WW,CSO - ASIA,12.25115,FDM,2013-05-21,1156.21394,58.18782,58.999065,944215,2020-07-02,2013-01-19,1,15.69736481,8.367535,0,43.3017,49.820286,124,LNI,-20.39933974,12.05612,CFM56-7B26/3,15.697365,6.518585205,9.17878,-2.5295181,6.518585,0.58473,3.76475,WW7,61.528584,Invalid,FALSE,-3.62867,Matched,0.0,Matched,0.0
8,804705,2013-05-21,443,5.425346375,0,WW,4852.8072,INDONESIA,12.25115,0,CFM56,-2.9382877,1,LNI,LION MENTARI AIRLINES,CFM56-7B,8.367534637,0,0,INC,0,4852,2013-01-19,3.067527563,-20.609629,LHQ,12.24683155,2011-01-19,WW,CSO - ASIA,12.24683,FDM,2013-07-31,301.255828,57.404396,58.18782,846431,2019-12-31,2013-05-21,1,14.88611984,5.4253464,0,43.3017,51.97905,683,LNI,12.25114881,-7.9386516,CFM56-7B26/3,14.88612,8.677349091,6.2087708,8.367535,8.677349,0.41708,3.06753,WW8,49.820286,Invalid,FALSE,0.74201,443,5.425346375,0,WW,4852.8072,INDONESIA,12.25115,0,CFM56,-2.9382877,1,LNI,LION MENTARI AIRLINES,CFM56-7B,8.367534637,0,0,INC,0,4852,2013-01-19,3.067527563,-20.609629,LHQ,12.24683155,2011-01-19,WW,CSO - ASIA,12.24683,FDM,2013-07-31,301.255828,57.404396,58.18782,846431,2020-07-02,2013-05-21,1,14.88611984,5.4253464,0,43.3017,51.97905,683,LNI,12.25114881,-7.9386516,CFM56-7B26/3,14.88612,8.677349091,6.2087708,8.367535,8.677349,0.41708,3.06753,WW8,49.820286,Invalid,FALSE,0.74201,Matched,0.0,Matched,0.0
9,804705,2013-07-31,97,8.129802704,0,WW,5295.0444,INDONESIA,12.24683,0,CFM56,-2.4160578,1,LNI,LION MENTARI AIRLINES,CFM56-7B,5.425346375,0,0,INC,0,5295,2013-05-21,2.663376244,,LHQ,83.81239901,2011-01-19,WW,CSO - ASIA,83.8124,RDO,2013-08-14,,51.14255,57.404396,197181,2019-12-31,2013-07-31,1,14.10269547,8.129803,0,43.3017,43.01275,443,LNI,12.24683155,-20.609629,CFM56-7B26/3,14.102695,-0.288951874,14.391647,5.4253464,-0.28895187,1.02049,2.66338,WW9,51.97905,Invalid,FALSE,2.65267,97,8.129802704,0,WW,5295.0444,INDONESIA,12.24683,0,CFM56,-2.4160578,1,LNI,LION MENTARI AIRLINES,CFM56-7B,5.425346375,0,0,INC,0,5295,2013-05-21,2.663376244,,LHQ,83.81239901,2011-01-19,WW,CSO - ASIA,83.8124,RDO,2013-08-14,,51.14255,57.404396,197181,2020-07-02,2013-07-31,1,14.10269547,8.129803,0,43.3017,43.01275,443,LNI,12.24683155,-20.609629,CFM56-7B26/3,14.102695,-0.288951874,14.391647,5.4253464,-0.28895187,1.02049,2.66338,WW9,51.97905,Invalid,FALSE,2.65267,Matched,0.0,Matched,0.0
10,804705,2013-08-14,517,19.73452759,0,WW,5392.4127,INDONESIA,83.8124,0,CFM56,-2.4951017,1,LNI,LION MENTARI AIRLINES,CFM56-7B,8.129802704,0,0,INC,0,5392,2013-07-31,1.454052437,-50.941074,LHQ,38.17123325,2011-01-19,WW,CSO - ASIA,38.17123,FDM,2013-11-09,307.466577,55.2144,51.14255,846435,2019-12-31,2013-08-14,1,7.84085083,19.734528,0,43.3017,35.479874,97,LNI,83.81239901,,CFM56-7B26/3,7.840851,-7.821826935,15.662678,8.129803,-7.821827,1.99757,1.45405,WW10,43.01275,Invalid,FALSE,1.92658,517,19.73452759,0,WW,5392.4127,INDONESIA,83.8124,0,CFM56,-2.4951017,1,LNI,LION MENTARI AIRLINES,CFM56-7B,8.129802704,0,0,INC,0,5392,2013-07-31,1.454052437,-50.941074,LHQ,38.17123325,2011-01-19,WW,CSO - ASIA,38.17123,FDM,2013-11-09,307.466577,55.2144,51.14255,846435,2020-07-02,2013-08-14,1,7.84085083,19.734528,0,43.3017,35.479874,97,LNI,83.81239901,,CFM56-7B26/3,7.840851,-7.821826935,15.662678,8.129803,-7.821827,1.99757,1.45405,WW10,43.01275,Invalid,FALSE,1.92658,Matched,0.0,Matched,0.0
11,804705,2013-11-09,268,-17.81256866,0,WW,5909.3022,INDONESIA,38.17123,0,CFM56,-2.8392918,1,LNI,LION MENTARI AIRLINES,CFM56-7B,19.73452759,0,0,INC,0,5909,2013-08-14,2.015923412,84.51704,LHQ,-66.46480845,2011-01-19,WW,CSO - ASIA,-66.46481,FDM,2014-01-18,-24.25058114,35.352245,55.2144,944217,2019-12-31,2013-11-09,1,11.91270065,-17.812569,0,43.3017,53.164814,517,LNI,38.17123325,-50.941074,CFM56-7B26/3,11.912701,9.863113403,2.0495872,19.734528,9.863113,0.17205,2.01592,WW11,35.479874,Invalid,FALSE,0.10386,354,-17.43727112,0,WW,5909.3022,INDONESIA,38.17123,0,CFM56,-2.8392918,1,LNI,LION MENTARI AIRLINES,CFM56-7B,19.73452759,0,0,INC,0,5909,2013-08-14,2.015923412,52.878567,LHQ,-49.25782802,2011-01-19,WW,CSO - ASIA,-49.25783,FDM,2014-01-18,-45.85761199,35.352245,55.2144,944217,2020-07-02,2013-11-09,1,11.91270065,-17.437271,0,43.3017,52.789516,517,LNI,38.17123325,-50.941074,CFM56-7B26/3,11.912701,9.487815857,2.4248848,19.734528,9.487816,0.20355,2.01592,WW11,35.479874,Invalid,FALSE,0.12288,Matched,0.0,Not Matched,0.7109328299202455
12,804705,2014-01-18,0,,0,WW,6177.6189,INDONESIA,-66.46481,0,CFM56,-2.825787,1,LNI,LION MENTARI AIRLINES,CFM56-7B,-17.81256866,0,0,INC,0,6177,2013-11-09,-1.28681542,,LHQ,,2011-01-19,WW,CSO - ASIA,,FDM,2014-06-14,,,35.352245,944219,2019-12-31,2013-12-31,1,-7.949455261,,0,43.3017,,268,LNI,-66.46480845,84.51704,CFM56-7B26/3,-7.9494553,,,-17.812569,,,-1.28682,WW12,53.164814,Invalid,FALSE,,772,8.136631012,0,WW,6263.5653,INDONESIA,-49.25783,0,CFM56,-2.7081883,1,LNI,LION MENTARI AIRLINES,CFM56-7B,-17.43727112,0,0,INC,0,6263,2013-11-09,-1.2691582,-10.939847,LHQ,10.53967748,2011-01-19,WW,CSO - ASIA,10.53968,FDM,2014-06-14,-529.355927,49.27995,35.352245,944219,2020-07-02,2014-01-17,1,-7.949455261,8.136631,0,43.3017,41.14332,354,LNI,-49.25782802,52.878567,CFM56-7B26/3,-7.9494553,-2.158382416,-5.791073,-17.437271,-2.1583824,0.72849,-1.26916,WW12,52.789516,Invalid,FALSE,0.33211,Matched,0.0,Not Matched,41.14332
